"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부"
"3230000","3230000-202-2022-00001","20220329","","01","영업/정상","01","영업","","","","","","316.90","138721","서울특별시 송파구 잠실동 40-1 롯데월드","서울특별시 송파구 올림픽로 240 5층 (잠실동)","05554","롯데호텔 여성사우나","20220329112427","I","2021-12-02 21:01:00.0","목욕장업 기타","208589.363343145","445455.90405262","","","","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-202-2020-00002","20201228","","01","영업/정상","01","영업","","","","","02  456 4455","220.00","143723","서울특별시 광진구 구의동 199-18 구의동삼성쉐르빌","서울특별시 광진구 구의강변로 106 지하층 B113호 (구의동 구의동삼성쉐르빌)","05117","(주)비터스윗코리아","20220421102426","U","2021-12-03 22:03:00.0","공동탕업","208310.372259506","448631.437594782","","","","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-202-1997-00108","19970103","","01","영업/정상","01","영업","","","","","02 9528300","547.97","139860","서울특별시 노원구 중계동 360-5","서울특별시 노원구 중계로 219 (중계동)","01743","법성대중사우나","20221021150312","U","2021-10-30 22:03:00.0","공동탕업","206608.290965894","460904.530676105","","","","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-202-1971-00337","19711206","","03","폐업","02","폐업","20221026","","","","0222388198","349.45","100818","서울특별시 중구 신당동 67-138","서울특별시 중구 퇴계로88길 55 (신당동)","04583","진양목욕탕","20221026161938","U","2021-10-30 22:08:00.0","공동탕업","201681.923662932","451222.549882961","","","","","","","","","","","","","","","","","","","","","",""
"3060000","3060000-202-2004-00003","20040707","","01","영업/정상","01","영업","","","","","02 4362020","539.74","131878","서울특별시 중랑구 중화동 207-37 (1층)","서울특별시 중랑구 중랑역로 4 (중화동(1층))","02117","우정대중목욕탕","20221101155607","U","2021-11-01 00:03:00.0","공동탕업","206764.330728385","454711.739232552","","","","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-202-2021-00001","20210325","","01","영업/정상","01","영업","","","","","0236637832","425.70","157862","서울특별시 강서구 염창동 259-2 나이아가라관광호텔 지하2층","서울특별시 강서구 양천로 743 나이아가라관광호텔 지하2층 (염창동)","07539","ONE(원)","20221107162825","U","2021-11-01 00:09:00.0","공동탕업","189200.147733153","449654.951038959","","","","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-202-2011-00001","20110214","","01","영업/정상","01","영업","","","","","0220650011","4641.83","157927","서울특별시 강서구 화곡동 1095","서울특별시 강서구 화곡로 347 (화곡동)","07649","그랜드아쿠아24&휘트니스","20221108101651","U","2021-10-31 23:00:00.0","공동탕업+찜질시설서비스영업","186786.622461585","450297.70265223","","","","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-202-2000-00483","20000113","","01","영업/정상","01","영업","","","","","02 8884685","735.11","151836","서울특별시 관악구 봉천동 865-2 세종오피스텔 지하1층01호","서울특별시 관악구 관악로13길 25 (봉천동세종오피스텔 지하1층01호)","08787","세종사우나","20221109164551","U","2021-10-31 23:01:00.0","공동탕업","195582.812990343","441900.29274736","","","","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-202-2001-01439","20010220","","01","영업/정상","01","영업","","","","","02 3950202","83.00","120090","서울특별시 서대문구 홍제동 459","서울특별시 서대문구 세무서2길 62 (홍제동 홍제현대아파트상가 지하2층)","03631","에프엠씨 스포츠클럽목욕탕","20221110152650","U","2021-10-31 23:02:00.0","공동탕업","195477.913016234","453929.325030582","","","","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-202-2000-01089","20001222","","01","영업/정상","01","영업","","","","","02 3747555","1339.99","120810","서울특별시 서대문구 북가좌동 68-3","서울특별시 서대문구 증가로 193 (북가좌동)","03686","스카이빌옥사우나","20221110145746","U","2021-10-31 23:02:00.0","공동탕업","192552.192063652","453030.926927651","","","","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-202-2020-00001","20201228","","01","영업/정상","01","영업","","","","","02  446 5300","469.00","143832","서울특별시 광진구 구의동 611 구의현대2단지아파트","서울특별시 광진구 광나루로56길 32 수영장 지하2~3층 (구의동 구의현대2단지아파트)","05118","현대프라임스포츠센타","20220421102223","U","2021-12-03 22:03:00.0","공동탕업","208403.746065593","448490.239179557","","","","","","","","","","","","","","","","","","","","","",""
"3020000","3020000-202-1987-00319","19871219","","01","영업/정상","01","영업","","","","","02  797 0216","466.94","140026","서울특별시 용산구 용산동6가 69-167 신동아쇼핑","서울특별시 용산구 이촌로 352 신동아쇼핑 지하2층 (용산동6가)","04428","신동아사우나","20221115095002","U","2021-10-31 23:07:00.0","공동탕업","198622.89264988","446114.155238838","","","","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-202-2012-00001","20120215","","03","폐업","02","폐업","20221118","","","","02  859 0931","2278.15","151015","서울특별시 관악구 신림동 1695","서울특별시 관악구 신원로 26 (신림동 신림동부아파트 제101동 상가 지층101호)","08775","태양불한증막사우나","20221118161227","U","2021-10-31 22:00:00.0","공동탕업+찜질시설서비스영업","193671.349359142","442039.985895904","","","","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-202-2020-00001","20200826","","01","영업/정상","01","영업","","","","","","1625.09","156010","서울특별시 동작구 신대방동 719 동작상떼빌아파트","서울특별시 동작구 신대방1가길 38 105동 지하1층 101호 (신대방동 동작상떼빌아파트)","07072","워터힐스파","20220412151255","U","2021-12-03 23:04:00.0","공동탕업+찜질시설서비스영업","191691.678396263","442818.113681285","","","","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-202-2003-00001","20030802","","01","영업/정상","01","영업","","","","","02 8122161","1587.92","156811","서울특별시 동작구 대방동 501","서울특별시 동작구 여의대방로44길 10 (대방동)","06943","미라주 사우나휘트니스","20221212113959","U","2021-11-01 23:04:00.0","공동탕업+찜질시설서비스영업","193273.484014052","445011.250115029","","","","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-202-2016-00003","20161107","","03","폐업","02","폐업","20220330","","","","02  64252000","183.00","138805","서울특별시 송파구 가락동 98-5","서울특별시 송파구 송파대로28길 5 지하1층 (가락동)","05719","가락 사우나","20220330153508","U","2021-12-04 00:01:00.0","공동탕업","210429.157119053","443526.648866499","","","","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-202-2009-00001","20090106","","03","폐업","02","폐업","20220124","","","","","238.85","137876","서울특별시 서초구 서초동 1594-3 지하 2층","서울특별시 서초구 효령로55길 39 지하 2층 (서초동)","06651","센트로 호텔사우나","20220411172842","U","2021-12-03 23:03:00.0","공동탕업","201170.070004848","442708.003635745","","","","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-202-2006-00002","20060922","","03","폐업","02","폐업","20220124","","","","02 5470010","672.00","137902","서울특별시 서초구 잠원동 13-7 지하 2층","서울특별시 서초구 나루터로15길 6 지하 2층 (잠원동)","06524","한강사우나","20220411173758","U","2021-12-03 23:03:00.0","공동탕업","201576.127051499","445998.07382598","","","","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-202-2004-00008","20041115","","03","폐업","02","폐업","20220124","","","","02537 0155","141.00","137828","서울특별시 서초구 방배동 751-9 지하1층","서울특별시 서초구 동광로19길 145 (방배동지하1층)","","남성전용사우나","20220411172440","U","2021-12-03 23:03:00.0","공동탕업","198649.663602053","443984.610397298","","","","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-202-2004-00003","20041013","","01","영업/정상","01","영업","","","","","02 9571564","596.52","136818","서울특별시 성북구 석관동 270-1 23층","서울특별시 성북구 돌곶이로22가길 27 (석관동23층)","02784","동호사우나","20220404132757","U","2021-12-04 00:06:00.0","공동탕업","205254.262597746","456319.556671704","","","","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-202-2003-00010","20030902","","03","폐업","02","폐업","20220124","","","","02 5865678","875.91","137876","서울특별시 서초구 서초동 1593-7 지하1층 (비101호 비102호)","서울특별시 서초구 효령로53길 45 (서초동지하1층)","06652","탑(TOP)","20220411173346","U","2021-12-03 23:03:00.0","공동탕업","201070.374374053","442706.851934959","","","","","","","","","","","","","","","","","","","","","",""
"3020000","3020000-202-2007-00001","20070125","","01","영업/정상","01","영업","","","","","02  705 0022","386.38","140879","서울특별시 용산구 한강로3가 16-85 지에스 한강에클라트","서울특별시 용산구 이촌로 1 (한강로3가 지에스 한강에클라트)","04373","원짐","20220425135948","U","2021-12-03 22:07:00.0","공동탕업","196005.836412851","447699.758814725","","","","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-202-2022-00001","20220426","","01","영업/정상","01","영업","","","","","","82.28","157915","서울특별시 강서구 화곡동 980-21 강서아이파크 312호","서울특별시 강서구 화곡로 296 3층 312호 (화곡동 강서아이파크)","07663","세신샵 결","20220426153156","I","2021-12-03 22:08:00.0","목욕장업 기타","186594.265612983","449819.1839312","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-202-2000-00004","20000808","","03","폐업","02","폐업","20220428","","","","02 7136969","1635.49","121854","서울특별시 마포구 신수동 93-10","서울특별시 마포구 광성로 37 (신수동)","04094","수정탕","20220428162308","U","2021-12-03 21:00:00.0","공동탕업+찜질시설서비스영업","194397.456379009","449749.291112294","","","","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-202-1963-00413","19630613","","03","폐업","02","폐업","19990604","","","","0209284513","36.00","110827","서울특별시 종로구 숭인동 1062-0번지 ","","","신설탕","19990607000000","I","2018-08-31 23:59:59.0","공동탕업","201857.226592825    ","452601.660020509    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1968-00414","19680927","","03","폐업","02","폐업","20021014","","","","0200000000","170.17","110839","서울특별시 종로구 창신동 595-2번지 ","","","양진탕","20021015000000","I","2018-08-31 23:59:59.0","공동탕업","200859.78177355     ","452704.066414189    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3010000","3010000-202-1982-00321","19821227","","03","폐업","02","폐업","19980910","","","","02 2743851",".00","100411","서울특별시 중구 광희동1가 8-1번지 ","","","광희장","20011008000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1970-00415","19700911","","03","폐업","02","폐업","20020325","","","","0205422840","115.42","110861","서울특별시 종로구 창신동 17-19번지 ","","","동신탕","20030325000000","I","2018-08-31 23:59:59.0","공동탕업","201262.548325721    ","452919.370056763    ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1981-00426","19811120","","03","폐업","02","폐업","20021014","","","","0207625437","168.93","110809","서울특별시 종로구 동숭동 128-5번지 ","","","낙산탕","20021015000000","I","2018-08-31 23:59:59.0","공동탕업","200311.616334189    ","453225.995421576    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1961-00380","19611230","","03","폐업","02","폐업","20021014","","","","02 7654579","223.07","110370","서울특별시 종로구 묘동 141번지 ","","","수은탕","20021015000000","I","2018-08-31 23:59:59.0","공동탕업","199129.65832612     ","452402.028532737    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-2003-00005","20030630","","03","폐업","02","폐업","20050602","","","","0222377200","520.97","110829","서울특별시 종로구 숭인동 1420번지 ","","","금호대중탕","20031229000000","I","2018-08-31 23:59:59.0","공동탕업","201908.102083278    ","452325.377310889    ","공동탕업","","","","","","1","","","","N","","","","","","","","","","","N"
"3010000","3010000-202-2003-00014","20030226","","03","폐업","02","폐업","20040330","","","","22350424",".00","100832","서울특별시 중구 신당동 393-23번지 ","","","시민탕","20040423000000","I","2018-08-31 23:59:59.0","공동탕업","200836.533082413    ","451189.818549447    ","공동탕업","2","","","2","","","","","","N","","","","","자가","","","","","","N"
"3010000","3010000-202-1960-00283","19601201","","03","폐업","02","폐업","20111221","","","","02 7559888",".00","100080","서울특별시 중구 북창동 95-0번지 ","","","북창탕","20061114000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","","","1","3","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-2007-00002","20071212","","03","폐업","02","폐업","20120918","","","","02  391 7515","2680.52","110847","서울특별시 종로구 평창동 153-3번지 지하12층 ","","","주식회사 아너스벨리","20080625101301","I","2018-08-31 23:59:59.0","공동탕업+찜질시설서비스영업","197349.173372741    ","456108.810250198    ","공동탕업+찜질시설서비스영업","0","0","0","0","1","2","0","0","0","Y","0","","","","","0","","","","","N"
"3010000","3010000-202-1987-00238","19871102","","03","폐업","02","폐업","20030226","","","","02 7577767","437.97","100170","서울특별시 중구 무교동 7-1번지 시그너스 ","","","뉴무교 사우나","20030410000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3010000","3010000-202-1987-00239","19871107","","03","폐업","02","폐업","19991115","","","","02 7573421","831.84","100012","서울특별시 중구 충무로2가 11-1번지 ","","","썬사인","20011008000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1993-00467","19930907","","03","폐업","02","폐업","20090928","","","","766 5252","326.14","110835","서울특별시 종로구 종로5가 110번지 ","","","벤허2사우나","20090605101919","I","2018-08-31 23:59:59.0","공동탕업","199961.039493914    ","452169.557249756    ","공동탕업","","","","","","2","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-2003-00008","20030827","","03","폐업","02","폐업","20071211","","","","0222367757","656.88","110826","서울특별시 종로구 숭인동 318-1번지 ","","","마동탕","20031204000000","I","2018-08-31 23:59:59.0","공동탕업","201432.311420646    ","452111.90290939     ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1985-00441","19851101","","03","폐업","02","폐업","20050524","","","","02 7347551","267.78","110054","서울특별시 종로구 사직동 121번지 ","","","중앙탕","20050523000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","","","","","","2","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1987-00442","19870107","","03","폐업","02","폐업","20040531","","","","0207633030","209.92","110862","서울특별시 종로구 숭인동 72-11번지 ","","","숭천탕","20030325000000","I","2018-08-31 23:59:59.0","공동탕업","201572.767098652    ","452445.184593517    ","공동탕업","","","","","","2","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1985-00438","19850117","","03","폐업","02","폐업","20050126","","","","0207368644","308.65","110080","서울특별시 종로구 무악동 44-1번지 ","","","무악탕","20031229000000","I","2018-08-31 23:59:59.0","공동탕업","196216.586675488    ","452583.293601235    ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-2015-00001","20150526","","03","폐업","02","폐업","20200909","","","","","6.00","","","서울특별시 종로구 종로67길 3-16 (숭인동)","03112","토궁(자연의아침)","20200910085442","U","2020-09-12 02:40:00.0","찜질시설서비스영업","201741.450560034    ","452510.374475331    ","찜질시설서비스영업","1","0","1","1","","","0","0","0","N","0","","","","","0","0","0","0","0","N"
"3000000","3000000-202-1996-00475","19960830","","03","폐업","02","폐업","20180918","","","","02 7350516","917.45","110090","서울특별시 종로구 교북동 101번지 ","서울특별시 종로구 송월길 147 (교북동)","03165","독립문사우나","20180918150639","U","2018-09-18 23:59:59.0","공동탕업","196578.171451494    ","452129.002076814    ","공동탕업","","","2","2","1","1","","","","N","","","","","","","","","","","N"
"3190000","3190000-202-2000-00228","20001211","","01","영업/정상","01","영업","","","","","02 5911453","593.52","156816","서울특별시 동작구 사당동 141-177","서울특별시 동작구 사당로29가길 47 (사당동)","07007","광성사우나","20220511161344","U","2021-12-04 23:03:00.0","공동탕업","198145.310964283","442773.834834416","","","","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-202-2008-00001","20080408","","03","폐업","02","폐업","20170418","","","","02  733 8111","584.19","110080","서울특별시 종로구 무악동 82번지 외2필지 무악현대아파트 상가 56층 ","서울특별시 종로구 통일로 246-10 56층 (무악동)","03025","독립문웰빙센터","20170418144347","I","2018-08-31 23:59:59.0","공동탕업","196467.975088253    ","452566.134030104    ","공동탕업","0","0","5","6","0","0","0","0","4","N","0","","","","","0","","","0","","N"
"3000000","3000000-202-2014-00002","20141231","","03","폐업","02","폐업","20180523","","","","","264.00","110420","서울특별시 종로구 관수동 20번지 ","서울특별시 종로구 수표로 96 4층 (관수동 국일관)","03192","힐링한강스파","20180523091319","I","2018-08-31 23:59:59.0","공동탕업","199045.043602772    ","451939.677286976    ","공동탕업","15","7","4","4","","","0","0","2","N","0","","","","","0","0","0","0","0","N"
"3000000","3000000-202-2003-00006","20000412","","03","폐업","02","폐업","20080125","","","","02 3968080","1485.00","110816","서울특별시 종로구 부암동 190-3번지 ","","","하림맥반석사우나","20040112000000","I","2018-08-31 23:59:59.0","공동탕업","196659.343136833    ","454934.50415762     ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1973-00419","19731128","","03","폐업","02","폐업","20100608","","","","02 7642006","203.78","110841","서울특별시 종로구 창신동 412-2번지 ","","","영미탕","20030709000000","I","2018-08-31 23:59:59.0","공동탕업","201162.364269669    ","452032.324978826    ","공동탕업","","","","1","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-2013-00001","20130118","","03","폐업","02","폐업","20150302","","","","","475.01","110420","서울특별시 종로구 관수동 20번지 국일관 4층 ","서울특별시 종로구 수표로 96 4층 (관수동 국일관)","03192","클레오 스파","20150302173158","I","2018-08-31 23:59:59.0","공동탕업","199045.043602772    ","451939.677286976    ","공동탕업","0","0","4","4","","","0","0","4","Y","0","","","","","0","","","0","0","N"
"3010000","3010000-202-1987-00241","19871117","","03","폐업","02","폐업","20051219","","","","02 7536542","307.33","100110","서울특별시 중구 서소문동 57-1번지 ","","","대원실업","20051219000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3010000","3010000-202-1960-00242","19600411","","03","폐업","02","폐업","19980212","","","","02 7556700",".00","100051","서울특별시 중구 회현동1가 196-4번지 ","","","회현탕","20011008000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1981-00425","19811109","","03","폐업","02","폐업","20120726","","","","0207644647","144.58","110842","서울특별시 종로구 창신동 464-10번지 ","","","대구온천탕","20030304000000","I","2018-08-31 23:59:59.0","공동탕업","200934.012281403    ","452128.401000852    ","공동탕업","","","","1","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1982-00428","19820920","","03","폐업","02","폐업","20010522","","","","0200000000","205.64","110320","서울특별시 종로구 낙원동 150-1번지 2호호","","","파고다","20010601000000","I","2018-08-31 23:59:59.0","공동탕업","199028.829510033    ","452167.894965375    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1982-00429","19821207","","03","폐업","02","폐업","20020325","","","","0200000000","289.78","110390","서울특별시 종로구 봉익동 7-1번지 ","","","백천탕","20030325000000","I","2018-08-31 23:59:59.0","공동탕업","199227.530733537    ","452353.103642099    ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1983-00431","19830924","","03","폐업","02","폐업","19971212","","","","02   00000","134.94","110847","서울특별시 종로구 평창동 182-25번지 ","","","송원탕","20010929000000","I","2018-08-31 23:59:59.0","공동탕업","197002.967810647    ","456003.295259389    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1983-00434","19831205","","03","폐업","02","폐업","19980903","","","","02   00000","227.41","110300","서울특별시 종로구 관훈동 106-0번지 ","","","보천탕","20011120000000","I","2018-08-31 23:59:59.0","공동탕업","198538.187537619    ","452524.551177639    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1995-00472","19950911","","03","폐업","02","폐업","20030710","","","","0222367757","696.82","110826","서울특별시 종로구 숭인동 318-1번지 ","","","마동탕","20030822000000","I","2018-08-31 23:59:59.0","공동탕업","201432.311420646    ","452111.90290939     ","공동탕업","","","","","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1969-00424","19691222","","03","폐업","02","폐업","19901101","","","","0200000000","139.03","110826","서울특별시 종로구 숭인동 211-9번지 ","","","우래탕","20010929000000","I","2018-08-31 23:59:59.0","공동탕업","201752.877100553    ","452297.876902155    ","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-2019-00001","20190822","","01","영업/정상","01","영업","","","","","0263537700","233.95","110450","서울특별시 종로구 원남동 49-17번지 4층 ","서울특별시 종로구 율곡로 180 4층 (원남동)","03127","오라카이 대학로 호텔","20190822174026","I","2019-08-24 02:22:10.0","공동탕업","199821.363678095    ","452603.475535058    ","공동탕업","0","0","4","4","","","0","0","0","N","0","","","","","0","0","0","0","0","N"
"3000000","3000000-202-1987-00450","19871231","","01","영업/정상","01","영업","","","","","02 7651341","281.11","110320","서울특별시 종로구 낙원동 190번지 ","서울특별시 종로구 돈화문로5길 28-5 (낙원동)","03139","문화탕","20110328164025","I","2018-08-31 23:59:59.0","공동탕업","199080.68323112     ","452074.808316084    ","공동탕업","","","1","1","","2","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1988-00484","19880326","","03","폐업","02","폐업","19900110","","","","0202445424","330.39","110121","서울특별시 종로구 종로1가 45-2번지 ","","","서울탕","20011120000000","I","2018-08-31 23:59:59.0","공동탕업","","","공동탕업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3000000","3000000-202-1970-00392","19701007","","01","영업/정상","01","영업","","","","","0207335527","262.26","110043","서울특별시 종로구 통인동 147-4번지 ","서울특별시 종로구 자하문로 35-6 (통인동)","03040","인왕탕","20110613103304","I","2018-08-31 23:59:59.0","공동탕업","197361.848625828    ","452983.593503638    ","공동탕업","","","","1","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-1963-00410","19630613","","01","영업/정상","01","영업","","","","","02 7634343","249.10","110855","서울특별시 종로구 창신동 578-1번지 ","서울특별시 종로구 창신길 22 (창신동)","03106","현대옥사우나","20171030151739","I","2018-08-31 23:59:59.0","공동탕업","200904.097306757    ","452258.945717944    ","공동탕업","","","","1","","","","","","N","","","","","","","","","","","N"
"3000000","3000000-202-2003-00009","20031013","","01","영업/정상","01","영업","","","","","02 7226995","1430.00","110718","서울특별시 종로구 관훈동 197-28번지 백상빌딩 지하2층 ","서울특별시 종로구 인사동7길 12 (관훈동백상빌딩 지하2층)","03149","백상대중탕","20171019161649","I","2018-08-31 23:59:59.0","공동탕업","198624.006469032    ","452310.752960617    ","공동탕업","","","","","","2","","","","N","","","","","","","","","","","N"
